"Module","ModuleFamily","Entity","FeatureAction","ActionKind","HttpMethod","RouteExpression","PermissionExpression","PermissionReference","EndpointFile","Line"
"Catalog","Catalog and pricing","Units","UpdateUnit","Workflow","PUT","""/api/v1/catalog/units"", async (UpdateUnitRequest request, ISender sender) =>","$""{PermissionList.UnitPermissions.Edit}""","UnitPermissions.Edit","src/Modules/Catalog/Catalog/Products/Features/Units/UpdateUnit/UpdateUnitEndPoint.cs","12"
"Catalog","Catalog and pricing","Variants","CreateVariant","Workflow","POST","""/api/v1/catalog/variants"", async (CreateVariantRequest request, ISender sender) =>","$""{PermissionList.VariantPermissions.Create}""","VariantPermissions.Create","src/Modules/Catalog/Catalog/Products/Features/Variants/CreateVariant/CreateVariantEndPoint.cs","12"
"Catalog","Catalog and pricing","Variants","GetVariantByCompany","Workflow","GET","""/api/v1/catalog/variants/company/{companyId}"", async (Guid companyId, [AsParameters] PaginationRequest paginationRequest, ISender sender) =>","PermissionList.VariantPermissions.View","VariantPermissions.View","src/Modules/Catalog/Catalog/Products/Features/Variants/GetVariantByCompany/GetVariantByCompanyEndpoint.cs","11"
"Catalog","Catalog and pricing","Variants","GetVariantById","Workflow","GET","""/api/v1/catalog/variants/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","PermissionList.VariantPermissions.View","VariantPermissions.View","src/Modules/Catalog/Catalog/Products/Features/Variants/GetVariantById/GetVariantByIdEndPoint.cs","11"
"Catalog","Catalog and pricing","Variants","GetVariants","Workflow","GET","""/api/v1/catalog/variants"", async ([AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.VariantPermissions.View","VariantPermissions.View","src/Modules/Catalog/Catalog/Products/Features/Variants/GetVariants/GetVariantsEndPoint.cs","13"
"Catalog","Catalog and pricing","Variants","RemoveVariant","Workflow","DELETE","""/api/v1/catalog/variants/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","$""{PermissionList.VariantPermissions.Delete}""","VariantPermissions.Delete","src/Modules/Catalog/Catalog/Products/Features/Variants/RemoveVariant/RemoveVariantEndPoint.cs","11"
"Catalog","Catalog and pricing","Variants","UpdateVariant","Workflow","PUT","""/api/v1/catalog/variants"", async (UpdateVariantRequest request, ISender sender) =>","$""{PermissionList.VariantPermissions.Edit}""","VariantPermissions.Edit","src/Modules/Catalog/Catalog/Products/Features/Variants/UpdateVariant/UpdateVariantEndPoint.cs","12"
"Customers","Customers","CustomerGroups","CreateCustomerGroup","Workflow","POST","""/api/v1/customers/customergroup/"", async (CreateCustomerGroupRequest request, ISender sender) =>","PermissionList.CustomerGroupPermissions.Create","CustomerGroupPermissions.Create","src/Modules/Customers/CustomersModule/Customers/Features/CustomerGroups/CreateCustomerGroup/CreateCustomerGroupEndpoint.cs","10"
"Customers","Customers","CustomerGroups","GetCustomerGroupByCompanyId","View/List","GET","""/api/v1/customers/customerGroup/company/{companyId}"",","PermissionList.CustomerGroupPermissions.View","CustomerGroupPermissions.View","src/Modules/Customers/CustomersModule/Customers/Features/CustomerGroups/GetCustomerGroupByCompanyId/GetCustomerGroupByCompanyIdEndpoint.cs","12"
"Customers","Customers","CustomerGroups","GetCustomerGroupById","Workflow","GET","""/api/v1/customers/customerGroup/{id}"", async (Guid id, ISender sender) =>","PermissionList.CustomerGroupPermissions.View","CustomerGroupPermissions.View","src/Modules/Customers/CustomersModule/Customers/Features/CustomerGroups/GetCustomerGroupById/GetCustomerGroupByIdEndpoint.cs","9"
"Customers","Customers","CustomerGroups","RemoveCustomerGroup","Workflow","DELETE","""/api/v1/customers/customerGroup/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","PermissionList.CustomerGroupPermissions.Delete","CustomerGroupPermissions.Delete","src/Modules/Customers/CustomersModule/Customers/Features/CustomerGroups/RemoveCustomerGroup/RemoveCustomerGroupEndpoint.cs","10"
"Customers","Customers","CustomerGroups","UpdateCustomerGroup","Workflow","PUT","""/api/v1/customers/customergroup"", async (UpdateCustomerGroupRequest request, ISender sender) =>","PermissionList.CustomerGroupPermissions.Edit","CustomerGroupPermissions.Edit","src/Modules/Customers/CustomersModule/Customers/Features/CustomerGroups/UpdateCustomerGroup/UpdateCustomerGroupEndpoint.cs","10"
"Customers","Customers","CustomerPricingProfiles","CreateCustomerPricingProfiles","Workflow","POST","""/api/v1/customers/customerPricingProfile"", async (CreateCustomerPricingProfilesRequest request, ISender sender) =>","PermissionList.CustomerPricingProfilePermissions.Create","CustomerPricingProfilePermissions.Create","src/Modules/Customers/CustomersModule/Customers/Features/CustomerPricingProfiles/CreateCustomerPricingProfiles/CreateCustomerPricingProfilesEndpoint.cs","9"
"Customers","Customers","CustomerPricingProfiles","GetCustomerPricingProfilesByCompanyId","View/List","GET","""/api/v1/customers/customerPricingProfile/company/{companyId}"",","PermissionList.CustomerPricingProfilePermissions.View","CustomerPricingProfilePermissions.View","src/Modules/Customers/CustomersModule/Customers/Features/CustomerPricingProfiles/GetCustomerPricingProfilesByCompanyId/GetCustomerPricingProfilesByCompanyIdEndpoint.cs","11"
"Customers","Customers","CustomerPricingProfiles","GetCustomerPricingProfilesById","Workflow","GET","""/api/v1/customers/customerPricingProfile/{id}"", async (Guid id, ISender sender) =>","PermissionList.CustomerPricingProfilePermissions.View","CustomerPricingProfilePermissions.View","src/Modules/Customers/CustomersModule/Customers/Features/CustomerPricingProfiles/GetCustomerPricingProfilesById/GetCustomerPricingProfilesByIdEndpoint.cs","9"
"Customers","Customers","CustomerPricingProfiles","RemoveCustomerPricingProfiles","Workflow","DELETE","""/api/v1/customers/customerPricingProfile/{id}"", async ([FromRoute] Guid id, ISender sender) =>","PermissionList.CustomerPricingProfilePermissions.Delete","CustomerPricingProfilePermissions.Delete","src/Modules/Customers/CustomersModule/Customers/Features/CustomerPricingProfiles/RemoveCustomerPricingProfiles/RemoveCustomerPricingProfilesEndpoint.cs","10"
"Customers","Customers","CustomerPricingProfiles","UpdateCustomerPricingProfiles","Workflow","PUT","""/api/v1/customers/customerPricingProfile"", async (UpdateCustomerPricingProfilesRequest request, ISender sender) =>","PermissionList.CustomerPricingProfilePermissions.Edit","CustomerPricingProfilePermissions.Edit","src/Modules/Customers/CustomersModule/Customers/Features/CustomerPricingProfiles/UpdateCustomerPricingProfiles/UpdateCustomerPricingProfilesEndpoint.cs","10"
"Customers","Customers","Customers","CreateCustomer","Workflow","POST","""/api/v1/customers/customer"", async (CreateCustomerRequest request, ISender sender) =>","PermissionList.CustomerPermissions.Create","CustomerPermissions.Create","src/Modules/Customers/CustomersModule/Customers/Features/Customers/CreateCustomer/CreateCustomerEndpoint.cs","11"
"Customers","Customers","Customers","GetCustomerById","Workflow","GET","""/api/v1/customers/customer/{id}"", async (Guid id, ISender sender) =>","PermissionList.CustomerPermissions.View","CustomerPermissions.View","src/Modules/Customers/CustomersModule/Customers/Features/Customers/GetCustomerById/GetCustomerByIdEndpoint.cs","8"
"Customers","Customers","Customers","GetCustomersByCompanyId","View/List","GET","""/api/v1/customers/customer/company/{companyId}"",","PermissionList.CustomerPermissions.View","CustomerPermissions.View","src/Modules/Customers/CustomersModule/Customers/Features/Customers/GetCustomersByCompanyId/GetCustomersByCompanyIdEndpoint.cs","11"
"Customers","Customers","Customers","RemoveCustomer","Workflow","DELETE","""/api/v1/customers/customer/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","PermissionList.CustomerPermissions.Delete","CustomerPermissions.Delete","src/Modules/Customers/CustomersModule/Customers/Features/Customers/RemoveCustomer/RemoveCustomerEndpoint.cs","10"
"Customers","Customers","Customers","UpdateCustomer","Workflow","PUT","""/api/v1/customers/customer"", async (UpdateCustomerRequest request, ISender sender) =>","PermissionList.CustomerPermissions.Edit","CustomerPermissions.Edit","src/Modules/Customers/CustomersModule/Customers/Features/Customers/UpdateCustomer/UpdateCustomerEndpoint.cs","9"
"Employee","HR employees","AcademicInstitutions","CreateAcademicInstitution","Workflow","POST","$""{Utils.URL_PATTERN}/{Utils.AcademicInstitution_Endpoint}"", async (CreateAcademicInstitutionRequest request, ISender sender) =>","PermissionList.AcademicInistitutionPermissions.Create","AcademicInistitutionPermissions.Create","src/Modules/Employee/EmployeeModule/Employees/Features/AcademicInstitutions/CreateAcademicInstitution/CreateAcademicInstitutionEndpoint.cs","11"
