"Module","ModuleFamily","Route","PageFile","MenuReachable"
"Procurement","Procurement","/Procurement/{KindRoute}/Form","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Procurement/Pages/ProcurementForm.razor","False"
"Procurement","Procurement","/Procurement/{KindRoute}/Form/{Id:guid}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Procurement/Pages/ProcurementForm.razor","False"
"Procurement","Procurement","/Procurement/Dashboard","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Procurement/ProcurementDashboard.razor","True"
"SalesOrder","Sales, POS, and orders","/Orders/Intakes","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/SalesOrder/Pages/OrderIntakeList.razor","True"
"SalesOrder","Sales, POS, and orders","/Orders/Intakes/{Id:guid}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/SalesOrder/Pages/OrderIntakeDetail.razor","False"
"SalesOrder","Sales, POS, and orders","/Sales/Dashboard","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/SalesOrder/Pages/SalesDashboard.razor","True"
"SalesOrder","Sales, POS, and orders","/Sales/Orders","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/SalesOrder/Pages/SalesOrderList.razor","True"
"SalesOrder","Sales, POS, and orders","/Sales/Orders/{Id:guid}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/SalesOrder/Pages/SalesOrderDetail.razor","False"
"SalesOrder","Sales, POS, and orders","/SalesOrder/POS","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/SalesOrder/Pages/POS.razor","True"
"Suppliers","Suppliers","/Suppliers/Supplier/Form","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Suppliers/Pages/SupplierForm.razor","False"
"Suppliers","Suppliers","/Suppliers/Supplier/Form/{Id:guid}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Suppliers/Pages/SupplierForm.razor","False"
"Suppliers","Suppliers","/Suppliers/Supplier/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Suppliers/Pages/SupplierList.razor","True"
